EXPEDITION,BLOCK,PLOT,TRT,ID,COLLECTION_DATA,N,P,CATIONS,SEX,AGE,WIDTH_CEPHALOTHORAX,CONDITION
FIRST,B4,P5,Phosphorus,P_R06,23/10/2022,0,1,0,Female,Adult,1.82,Adult
SECOND,B1,P1,Phosphorus,P_R10,07/06/2023,0,1,0,Female,Adult,1.63,Adult
THIRD,B1,P1,Phosphorus,P_R40,18/03/2024,0,1,0,Female,Adult,1.72,Adult
THIRD,B1,P1,Phosphorus,P_R42,18/03/2024,0,1,0,Female,Adult,1.69,Adult
THIRD,B1,P1,Phosphorus,P_R44,18/03/2024,0,1,0,Female,Adult,1.69,Adult
THIRD,B1,P1,Phosphorus,P_R45,18/03/2024,0,1,0,Female,Adult,1.82,Adult
THIRD,B2,P7,Phosphorus,P_R48,21/03/2024,0,1,0,Female,Adult,1.65,Adult
THIRD,B2,P7,Phosphorus,P_R49,21/03/2024,0,1,0,Female,Adult,1.59,Adult
THIRD,B2,P7,Phosphorus,P_R50,21/03/2024,0,1,0,Female,Adult,1.71,Adult
THIRD,B1,P1,Phosphorus,P_R51,22/03/2024,0,1,0,Female,Adult,1.62,Adult
THIRD,B1,P1,Phosphorus,P_R52,22/03/2024,0,1,0,Female,Adult,1.63,Adult
THIRD,B1,P1,Phosphorus,P_R53,22/03/2024,0,1,0,Female,Adult,1.64,Adult
THIRD,B4,P5,Phosphorus,P_R55,25/03/2024,0,1,0,Female,Adult,1.52,Adult
THIRD,B4,P5,Phosphorus,P_R59,25/03/2024,0,1,0,Female,Adult,1.64,Adult
THIRD,B4,P5,Phosphorus,P_R60,25/03/2024,0,1,0,Female,Adult,1.71,Adult
THIRD,B4,P5,Phosphorus,P_R62,25/03/2024,0,1,0,Female,Adult,1.49,Adult
THIRD,B4,P5,Phosphorus,P_R63,25/03/2024,0,1,0,Female,Adult,1.74,Adult
THIRD,B4,P5,Phosphorus,P_R64,25/03/2024,0,1,0,Female,Adult,1.7,Adult
THIRD,B4,P5,Phosphorus,P_R65,25/03/2024,0,1,0,Female,Adult,1.7,Adult
THIRD,B4,P5,Phosphorus,P_R66,25/03/2024,0,1,0,Female,Adult,1.53,Adult
THIRD,B4,P5,Phosphorus,P_R67,25/03/2024,0,1,0,Female,Adult,1.61,Adult
FIRST,B4,P2,Nitrogen,N_R01,20/10/2022,1,0,0,Female,Adult,1.65,Adult
FIRST,B4,P2,Nitrogen,N_R03,20/10/2022,1,0,0,Female,Adult,1.74,Adult
FIRST,B4,P2,Nitrogen,N_R04,20/10/2022,1,0,0,Female,Adult,1.62,Adult
FIRST,B2,P5,Nitrogen,N_R06,24/10/2022,1,0,0,Female,Adult,1.54,Adult
FIRST,B2,P5,Nitrogen,N_R07,24/10/2022,1,0,0,Female,Adult,1.66,Adult
SECOND,B4,P2,Nitrogen,N_R37,13/06/2023,1,0,0,Female,Adult,1.73,Adult
THIRD,B2,P5,Nitrogen,N_R40,20/03/2024,1,0,0,Female,Adult,1.68,Adult
THIRD,B4,P2,Nitrogen,N_R41,23/03/2024,1,0,0,Female,Adult,1.77,Adult
THIRD,B4,P2,Nitrogen,N_R42,23/03/2024,1,0,0,Female,Adult,1.67,Adult
THIRD,B4,P2,Nitrogen,N_R43,23/03/2024,1,0,0,Female,Adult,1.73,Adult
THIRD,B4,P2,Nitrogen,N_R45,23/03/2024,1,0,0,Female,Adult,1.57,Adult
THIRD,B4,P2,Nitrogen,N_R47,23/03/2024,1,0,0,Female,Adult,1.62,Adult
THIRD,B4,P2,Nitrogen,N_R49,23/03/2024,1,0,0,Female,Adult,1.75,Adult_compromised_abdomen
THIRD,B4,P2,Nitrogen,N_R50,25/03/2024,1,0,0,Female,Adult,1.67,Adult
THIRD,B3,P8,Nitrogen,N_R51,26/03/2024,1,0,0,Female,Adult,1.48,Adult
THIRD,B3,P8,Nitrogen,N_R53,26/03/2024,1,0,0,Female,Adult,1.72,Adult
THIRD,B3,P8,Nitrogen,N_R54,26/03/2024,1,0,0,Female,Adult,1.73,Adult
THIRD,B3,P8,Nitrogen,N_R55,26/03/2024,1,0,0,Female,Adult,1.77,Adult
THIRD,B3,P8,Nitrogen,N_R56,26/03/2024,1,0,0,Female,Adult,1.73,Adult
THIRD,B3,P8,Nitrogen,N_R57,26/03/2024,1,0,0,Female,Adult,1.62,Adult
THIRD,B3,P8,Nitrogen,N_R58,26/03/2024,1,0,0,Female,Adult,1.61,Adult
THIRD,B3,P8,Nitrogen,N_R59,26/03/2024,1,0,0,Female,Adult,1.75,Adult
THIRD,B3,P8,Nitrogen,N_R62,26/03/2024,1,0,0,Female,Adult,1.59,Adult
FIRST,B3,P5,N+Cations,NCa_R01,27/10/2022,1,0,1,Female,Adult,1.7,Adult
SECOND,B4,P3,N+Cations,NCa_R24,12/06/2023,1,0,1,Female,Adult,1.61,Adult
THIRD,B4,P3,N+Cations,NCa_R30,25/03/2024,1,0,1,Female,Adult,1.76,Adult
THIRD,B4,P3,N+Cations,NCa_R32,25/03/2024,1,0,1,Female,Adult,1.77,Adult
THIRD,B4,P3,N+Cations,NCa_R35,25/03/2024,1,0,1,Female,Adult,1.63,Adult
THIRD,B1,P2,N+Cations,NCa_R36,22/03/2024,1,0,1,Female,Adult,1.67,Adult
THIRD,B1,P2,N+Cations,NCa_R37,22/03/2024,1,0,1,Female,Adult,1.62,Adult
THIRD,B1,P2,N+Cations,NCa_R38,22/03/2024,1,0,1,Female,Adult,1.77,Adult
THIRD,B4,P3,N+Cations,NCa_R41,25/03/2024,1,0,1,Female,Adult,1.73,Adult
THIRD,B4,P3,N+Cations,NCa_R47,25/03/2024,1,0,1,Female,Adult,1.64,Adult
THIRD,B4,P3,N+Cations,NCa_R48,25/03/2024,1,0,1,Female,Adult,1.68,Adult
THIRD,B4,P3,N+Cations,NCa_R49,25/03/2024,1,0,1,Female,Adult,1.64,Adult
THIRD,B4,P3,N+Cations,NCa_R50,25/03/2024,1,0,1,Female,Adult,1.64,Adult
THIRD,B4,P3,N+Cations,NCa_R53,25/03/2024,1,0,1,Female,Adult,1.52,Adult
THIRD,B4,P3,N+Cations,NCa_R54,25/03/2024,1,0,1,Female,Adult,1.7,Adult
THIRD,B3,P5,N+Cations,NCa_R54_dup,26/03/2024,1,0,1,Female,Adult,1.64,Adult
THIRD,B3,P5,N+Cations,NCa_R55_dup,26/03/2024,1,0,1,Female,Adult,1.72,Adult
THIRD,B3,P5,N+Cations,NCa_R56,26/03/2024,1,0,1,Female,Adult,1.71,Adult
THIRD,B3,P5,N+Cations,NCa_R57,26/03/2024,1,0,1,Female,Adult,1.74,Adult
FIRST,B3,P7,N+P,NP_R01,27/10/2022,1,1,0,Female,Adult,1.73,Adult
FIRST,B3,P7,N+P,NP_R02,27/10/2022,1,1,0,Female,Adult,1.66,Adult
FIRST,B3,P7,N+P,NP_R03,27/10/2022,1,1,0,Female,Adult,1.71,Adult
SECOND,B3,P7,N+P,NP_R07,03/06/2023,1,1,0,Female,Adult,1.69,Adult
THIRD,B1,P7,N+P,NP_R20,19/03/2024,1,1,0,Female,Adult,1.78,Adult
THIRD,B1,P7,N+P,NP_R21,19/03/2024,1,1,0,Female,Adult,1.71,Adult
THIRD,B1,P7,N+P,NP_R21_dup,19/03/2024,1,1,0,Female,Adult,1.65,Adult
THIRD,B1,P7,N+P,NP_R22,19/03/2024,1,1,0,Female,Adult,1.83,Adult
THIRD,B1,P7,N+P,NP_R23,19/03/2024,1,1,0,Female,Adult,1.73,Adult
THIRD,B2,P2,N+P,NP_R24,21/03/2024,1,1,0,Female,Adult,1.69,Adult
THIRD,B4,P4,N+P,NP_R40,25/03/2024,1,1,0,Female,Adult,1.66,Adult
THIRD,B4,P4,N+P,NP_R41,25/03/2024,1,1,0,Female,Adult,1.8,Adult
THIRD,B4,P4,N+P,NP_R42,25/03/2024,1,1,0,Female,Adult,1.82,Adult
THIRD,B4,P4,N+P,NP_R43,25/03/2024,1,1,0,Female,Adult,1.7,Adult
THIRD,B4,P4,N+P,NP_R44,25/03/2024,1,1,0,Female,Adult,1.72,Adult
THIRD,B4,P4,N+P,NP_R45,25/03/2024,1,1,0,Female,Adult,1.76,Adult
THIRD,B4,P4,N+P,NP_R47,25/03/2024,1,1,0,Female,Adult,1.66,Adult
THIRD,B4,P4,N+P,NP_R48,25/03/2024,1,1,0,Female,Adult,1.68,Adult
THIRD,B3,P7,N+P,NP_R49,26/03/2024,1,1,0,Female,Adult,1.67,Adult
THIRD,B3,P7,N+P,NP_R50,26/03/2024,1,1,0,Female,Adult,1.73,Adult
THIRD,B3,P7,N+P,NP_R52,26/03/2024,1,1,0,Female,Adult,1.7,Adult
FIRST,B4,P7,N+P+Cations,NPCa_R01,28/10/2022,1,1,1,Female,Adult,1.67,Adult
THIRD,B1,P6,N+P+Cations,NPCa_R18,19/03/2024,1,1,1,Female,Adult,1.76,Adult
THIRD,B1,P6,N+P+Cations,NPCa_R19,19/03/2024,1,1,1,Female,Adult,1.64,Adult
THIRD,B3,P3,N+P+Cations,NPCa_R22_dup,26/03/2024,1,1,1,Female,Adult,1.56,Adult
THIRD,B4,P7,N+P+Cations,NPCa_R24,23/03/2024,1,1,1,Female,Adult,1.69,Adult
FIRST,B2,P4,P+Cations,PCa_R01,26/10/2022,0,1,1,Female,Adult,1.57,Adult
FIRST,B1,P3,P+Cations,PCa_R02,28/10/2022,0,1,1,Female,Adult,1.67,Adult
SECOND,B1,P3,P+Cations,PCa_R03,04/06/2023,0,1,1,Female,Adult,1.45,Adult
SECOND,B4,P8,P+Cations,PCa_R07_dup,14/06/2023,0,1,1,Female,Adult,1.78,Adult
THIRD,B2,P4,P+Cations,PCa_R26,20/03/2024,0,1,1,Female,Adult,1.62,Adult
THIRD,B2,P4,P+Cations,PCa_R27_dup,20/03/2024,0,1,1,Female,Adult,1.77,Adult
THIRD,B1,P3,P+Cations,PCa_R28,19/03/2024,0,1,1,Female,Adult,1.67,Adult
THIRD,B1,P3,P+Cations,PCa_R30,19/03/2024,0,1,1,Female,Adult,1.73,Adult
THIRD,B1,P3,P+Cations,PCa_R33,22/03/2024,0,1,1,Female,Adult,1.82,Adult
THIRD,B1,P3,P+Cations,PCa_R34,22/03/2024,0,1,1,Female,Adult,1.8,Adult
THIRD,B1,P3,P+Cations,PCa_R36,22/03/2024,0,1,1,Female,Adult,1.79,Adult
THIRD,B4,P8,P+Cations,PCa_R37,25/03/2024,0,1,1,Female,Adult,1.73,Adult
THIRD,B4,P8,P+Cations,PCa_R38,25/03/2024,0,1,1,Female,Adult,1.59,Adult
THIRD,B3,P6,Cations,Ca_R40,21/03/2024,0,0,1,Female,Adult,1.76,Adult_compromised_abdomen
THIRD,B4,P6,Cations,Ca_R49,23/03/2024,0,0,1,Female,Adult,1.56,Adult_compromised_abdomen
THIRD,B4,P1,Control,Co_R45,24/03/2024,0,0,0,Female,Adult,1.51,Adult_compromised_abdomen
THIRD,B1,P1,Phosphorus,P_R43,18/03/2024,0,1,0,Female,Adult,1.54,Adult_compromised_abdomen
THIRD,B3,P8,Nitrogen,N_R61,26/03/2024,1,0,0,Female,Adult,1.82,Adult_compromised_abdomen
THIRD,B4,P3,N+Cations,NCa_R55,25/03/2024,1,0,1,Female,Adult,1.63,Adult_compromised_abdomen
SECOND,B3,P3,N+P+Cations,NPCa_R02,04/06/2023,1,1,1,Female,Adult,1.73,Adult_compromised_abdomen
THIRD,B1,P6,N+P+Cations,NPCa_R20,19/03/2024,1,1,1,Female,Adult,1.64,Adult_compromised_abdomen
THIRD,B3,P3,N+P+Cations,NPCa_R21_dup,26/03/2024,1,1,1,Female,Adult,1.67,Adult_compromised_abdomen
SECOND,B4,P8,P+Cations,PCa_R17,14/06/2023,0,1,1,Female,Adult,1.72,Adult_compromised_abdomen
THIRD,B2,P4,P+Cations,PCa_R23,20/03/2024,0,1,1,Female,Adult,1.74,Adult_compromised_abdomen
THIRD,B1,P3,P+Cations,PCa_R24,19/03/2024,0,1,1,Female,Adult,1.66,Adult_compromised_abdomen
THIRD,B1,P3,P+Cations,PCa_R27,19/03/2024,0,1,1,Female,Adult,1.79,Adult_compromised_abdomen
